Ne[kW];Gfuel[kg/h];ge[g/kWh]
230.13;48.82;212.14096380306785
225.6;47.37;209.97340425531914
224.18;46.54;207.60103488268356
224.22;46.43;207.07341004370707
222.08;45.86;206.50216138328528
216.62;44.95;207.50623211153172
208.37;43.06;206.65162931324087
205.91;42.33;205.57525132339373
193.9;39.61;204.28055698813822
180.78;35.77;197.8648080539883
167.5;32.42;193.55223880597018
154.9;30.12;194.44803098773403
126.77;24.97;196.97089216691646
105.83;21.49;203.0615137484645
80.53;16.98;210.85309822426427
60.29;12.99;215.4586166860176
